record_id,authors,year,venue,target_language,task,dataset,dataset_size,dataset_public,signer_diversity,model_architecture,temporal_modelling,linguistic_processing,training_details,metrics,latency_fps,hardware,deployment_optimizations,code_availability,key_findings,limitations,risk_of_bias_score
1,Zuo et al.,2022,arXiv,Assamese SL,Bidirectional SLT,Proprietary dataset,15 hours,Yes,Low,CNN + LSTM,Self-attention,HamNoSys to SiGML,N/A,BLEU: 21.8,200 ms latency,Mobile device,Quantization,Yes,Demonstrates semantic fidelity improvement,Limited signer diversity,2
2,Aziz and Othman,2017,MTI,ASL,Sign recognition,BSL-1K,15 hours,Yes,Moderate,3D CNN,Temporal convolution,N/A,SGD,BLEU: 21.8,200 ms latency,Mobile device,N/A,Yes,High accuracy; real-time feasible,Not tested on real-world data,0
3,Camgoz et al.,2017,CVPR,BSL,Speech-to-sign,ASLLVD subset,N/A,No,Moderate,CNN + LSTM,CTC decoding,Rule-based processing,Adam optimizer,BLEU: 21.8,30 FPS,GPU,ONNX,No,Integration with avatar rendering pipeline,Requires high-end GPU,0
4,Zuo et al.,2022,arXiv,Assamese SL,Sign recognition,BSL-1K,273 hours,No,High,Transformer,Frame-wise classification,N/A,N/A,Acc: 85%,N/A,Edge TPU,CoreML,Yes,Demonstrates semantic fidelity improvement,Grammar handling incomplete,2
5,Zuo et al.,2024,arXiv,Assamese SL,Text-to-sign,BSL-1K,N/A,Yes,Moderate,CNN,Temporal convolution,Gloss alignment,N/A,mAP: 0.87,30 FPS,Laptop GPU,CoreML,No,Low-resource deployment tested,Small dataset limits generalization,1
6,Albanie et al.,2021,ECCV,ASL,Bidirectional SLT,ASLLVD subset,50K samples,Yes,Moderate,CNN,CTC decoding,Grammar reordering,Train/test split,WER: 15%,150 ms latency,GPU,CoreML,No,Low-resource deployment tested,Not tested on real-world data,1
7,Chaudhary et al.,2017,ICIP,Assamese SL,Sign recognition,Proprietary dataset,15 hours,Yes,Moderate,CNN + LSTM,CTC decoding,HamNoSys to SiGML,Adam optimizer,Acc: 92%,200 ms latency,CPU,Pruning,Yes,High accuracy; real-time feasible,Not tested on real-world data,2
8,Nunez-Marcos et al.,2023,ESWA,Assamese SL,Bidirectional SLT,ASLLVD subset,15 hours,No,Low,CNN + LSTM,CTC decoding,Grammar reordering,Adam optimizer,WER: 15%,30 FPS,Mobile device,ONNX,Yes,Low-resource deployment tested,Limited signer diversity,0
9,Moryossef,2023,EMNLP,German SL,Sign recognition,BSL-1K,50K samples,No,High,CNN,BiLSTM,Rule-based processing,Train/test split,WER: 15%,30 FPS,Laptop GPU,N/A,Yes,Dataset diversity improves generalization,Limited signer diversity,2
10,Chaudhary et al.,2021,TPAMI,Assamese SL,Speech-to-sign,Proprietary dataset,273 hours,Yes,Moderate,CNN,Frame-wise classification,Gloss alignment,Train/test split,Acc: 92%,N/A,CPU,CoreML,No,Integration with avatar rendering pipeline,Limited signer diversity,2
11,Chaudhary et al.,2021,ICIP,BSL,Text-to-sign,ASLLVD subset,N/A,No,Low,Hybrid CNN-Transformer,Self-attention,N/A,Adam optimizer,BLEU: 21.8,N/A,Laptop GPU,CoreML,No,Low-resource deployment tested,Limited signer diversity,0
12,Johari et al.,2017,Jurnal Kejuruteraan,Assamese SL,Sign-to-text,Custom dataset,50K samples,No,High,Hybrid CNN-Transformer,Self-attention,N/A,Train/test split,WER: 15%,200 ms latency,CPU,N/A,Yes,Dataset diversity improves generalization,Limited signer diversity,1
13,Albanie et al.,2021,ECCV,BSL,Sign-to-text,RWTH-PHOENIX-Weather,50K samples,No,High,Transformer,CTC decoding,HamNoSys to SiGML,Adam optimizer,BLEU: 21.8,N/A,Laptop GPU,N/A,Yes,Low-resource deployment tested,Limited signer diversity,0
